TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Corr	Sorted	Time
21	0	orientechnologies/orientdb	OCommandExecutorSQLSelectTest	testLimitWithNamedParam	assertEquals(qResult.size(),2);	assertNotNull(qResult);	0	1	16.69209313392639
	1	/	OCommandExecutorSQLSelectTest	testLimitWithNamedParam	assertEquals(qResult.size(),2);	assertTrue(!qResult.isEmpty());	0	1	16.69209313392639
	2	/	OCommandExecutorSQLSelectTest	testLimitWithNamedParam	assertEquals(qResult.size(),2);	assertEquals(qResult.size(),2);	1	1	16.69209313392639
	3	/	OCommandExecutorSQLSelectTest	testLimitWithNamedParam	assertEquals(qResult.size(),2);	assertNotEquals(expectedResult,actualResult);	0	1	16.69209313392639
	4	/	OCommandExecutorSQLSelectTest	testLimitWithNamedParam	assertEquals(qResult.size(),2);	assertSame(expectedObject,actualObject);	0	1	16.69209313392639
22	0	orientechnologies/orientdb	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertNotNull(companyClass);	0	1	33.788313150405884
	1	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertNotNull(idProperty);	0	1	33.788313150405884
	2	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	"assertEquals(""STR"",companyClass.getName());"	0	1	33.788313150405884
	3	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(idProperty.getName(),PROP_ID);	1	1	33.788313150405884
	4	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(OType.INTEGER,idProperty.getType());	0	1	33.788313150405884
	5	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertTrue(idProperty.isMandatory());	0	1	33.788313150405884
	6	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertFalse(idProperty.isNotNull());	0	1	33.788313150405884
	7	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertTrue(idProperty.isReadonly());	0	1	33.788313150405884
	8	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(Integer.valueOf(10),idProperty.getMax());	0	1	33.788313150405884
	9	/	OCommandExecutorSQLCreatePropertyTest	testNonStrict	assertEquals(idProperty.getName(),PROP_ID);	assertEquals(Integer.valueOf(4),idProperty.getMin());	0	1	33.788313150405884
23	0	orientechnologies/orientdb	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	assertNotNull(execute);	0	1	49.86923384666443
	1	/	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	assertTrue(execute.size()>0);	0	1	49.86923384666443
	2	/	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	assertEquals(0.1980897715667625,0.0001);	0	1	49.86923384666443
	3	/	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	assertFalse(execute.isEmpty());	0	1	49.86923384666443
	4	/	LuceneSpatialMiscFunctionsTest	testDistance	"assertThat(next.<Double>field(""STR"")).isEqualTo(0.0015056772638228177);"	"assertEquals(next.getClassName(),""STR"");"	0	1	49.86923384666443
