TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Corr	Sorted	Time
21	0	hazelcast/hazelcast-simulator	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertNotNull(test1);	0	1	48.4271240234375
	1	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertNotNull(registry.getTestSuites().get(0).getTests().get(0));	0	1	48.4271240234375
	2	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertNotNull(registry.getTestSuites().get(0).getTests().get(1));	0	1	48.4271240234375
	3	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertNotNull(registry.getTestSuites().get(0).getTests().get(2));	0	1	48.4271240234375
	4	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().contains(test1));	0	1	48.4271240234375
	5	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().contains(test2));	0	1	48.4271240234375
	6	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().contains(test3));	0	1	48.4271240234375
	7	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().get(0).equals(test1));	0	1	48.4271240234375
	8	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().get(1).equals(test2));	0	1	48.4271240234375
	9	/	RegistryTest	testAddTests_testIdFixing	"assertEquals(""STR"",test1.getId());"	assertTrue(registry.getTestSuites().get(0).getTests().get(2).equals(test3));	0	1	48.4271240234375
22	0	hazelcast/hazelcast-simulator	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertTrue(performanceMonitor.isRunning());	0	1	63.230639696121216
	1	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertEquals(1,performanceMonitor.getTestCount());	0	1	63.230639696121216
	2	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertNotNull(server);	0	1	63.230639696121216
	3	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertNotNull(containerManager);	0	1	63.230639696121216
	4	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertFalse(performanceMonitor.isFinished());	0	1	63.230639696121216
	5	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertNotNull(performanceMonitor.getStartTime());	0	1	63.230639696121216
	6	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertNull(performanceMonitor.getFinishTime());	0	1	63.230639696121216
	7	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertFalse(performanceMonitor.hasErrors());	0	1	63.230639696121216
	8	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertEquals(0,performanceMonitor.getErrors().size());	0	1	63.230639696121216
	9	/	PerformanceMonitorTest	test_whenTestRunning_thenSendPerformanceStats	assertTrueEventually(newAssertTask(){@Overridepublicvoidrun()throwsException{assertPerfStatsSend();}});	assertEquals(0,performanceMonitor.getFailures().size());	0	1	63.230639696121216
23	0	hazelcast/hazelcast-simulator	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertNotNull(probs);	0	1	63.43541622161865
	1	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertTrue(probs.isEmpty());	0	1	63.43541622161865
	2	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertEquals(0,probs.size());	0	1	63.43541622161865
	3	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertNotNull(model.getTimeStepModel());	0	1	63.43541622161865
	4	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertEquals(1,model.getExecutionGroups().size());	0	1	63.43541622161865
	5	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertThrows(NullPointerException.class,()->model.loadModel(null,probs));	0	1	63.43541622161865
	6	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertSame(model,model.getTimeStepModel());	0	1	63.43541622161865
	7	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertTrue(probs.containsValue(0.0));	0	1	63.43541622161865
	8	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	assertNotEquals(0,model.getNumTimeSteps());	0	1	63.43541622161865
	9	/	TimeStepModel_probabilityTest	test_probability_singleMethod	"assertProbability(model,""STR"",1.0);"	"assertEquals(""STR"",""STR"");"	0	1	63.43541622161865
24	0	hazelcast/hazelcast-simulator	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	assertNotNull(options);	1	1	31.637259006500244
	1	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	assertEquals(0,options.nonOptionArguments().size());	0	1	31.637259006500244
	2	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	assertTrue(options.hasOptions());	0	1	31.637259006500244
	3	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	assertNotEquals(null,initOptionsWithHelp(parser,newString[]{}));	0	1	31.637259006500244
	4	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	assertEquals(parser,options.parser());	0	1	31.637259006500244
	5	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	"assertEquals(""STR"",options.specs().get(0).options().iterator().next().longestName());"	0	1	31.637259006500244
	6	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	"assertEquals(""STR"",options.lastSpec().options().iterator().next().longestName());"	0	1	31.637259006500244
	7	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	"assertEquals(""STR"",""STR"");"	0	1	31.637259006500244
	8	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	"assertNotEquals(0,""STR"");"	0	1	31.637259006500244
	9	/	CliUtilsTest	testInitOptionsWithHelp_noArgs	assertNotNull(options);	"assertNotNull(""STR"");"	0	1	31.637259006500244
25	0	hazelcast/hazelcast-simulator	PerformanceStatsCollectorTest	testGet_testCaseNotFound	assertTrue(performanceStats.isEmpty());	assertTrue(emptyPerformanceStatsCollector.isEmpty());	0	1	26.405893087387085
	1	/	PerformanceStatsCollectorTest	testGet_testCaseNotFound	assertTrue(performanceStats.isEmpty());	assertNotNull(true);	0	1	26.405893087387085
	2	/	PerformanceStatsCollectorTest	testGet_testCaseNotFound	assertTrue(performanceStats.isEmpty());	assertEquals(0,emptyPerformanceStatsCollector.getOperationCount());	0	1	26.405893087387085
26	0	hazelcast/hazelcast-simulator	FailureTypeTest	testFromPropertyValue_empty	assertThat(types,is(empty()));	assertTrue(types.isEmpty());	0	1	39.71981191635132
	1	/	FailureTypeTest	testFromPropertyValue_empty	assertThat(types,is(empty()));	assertFalse(types.isEmpty());	0	1	39.71981191635132
	2	/	FailureTypeTest	testFromPropertyValue_empty	assertThat(types,is(empty()));	assertEquals(Collections.emptySet(),types);	0	1	39.71981191635132
	3	/	FailureTypeTest	testFromPropertyValue_empty	assertThat(types,is(empty()));	assertNotEquals(Collections.emptySet(),types);	0	1	39.71981191635132
	4	/	FailureTypeTest	testFromPropertyValue_empty	assertThat(types,is(empty()));	assertEquals(0,types.size());	0	1	39.71981191635132
