TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Corr	Sorted	Time
21	0	Yubico/yubico-java-client	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertEquals(""STR"",resultPublicId);"	0	1	67.7372829914093
	1	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertNotEquals(""STR"",resultPublicId);"	0	1	67.7372829914093
	2	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	assertNotNull(resultPublicId);	0	1	67.7372829914093
	3	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	assertTrue(!resultPublicId.isEmpty());	0	1	67.7372829914093
	4	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	assertEquals(11,resultPublicId.toCharArray().length);	0	1	67.7372829914093
	5	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertTrue(""STR"");"	0	1	67.7372829914093
	6	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertEquals(""STR"",resultPublicId.substring(0,9));"	0	1	67.7372829914093
	7	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertTrue(""STR"");"	0	1	67.7372829914093
	8	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	assertEquals(testPublicId,resultPublicId);	1	1	67.7372829914093
	9	/	YubicoClientTest	testValidOTPPublicId	assertEquals(testPublicId,resultPublicId);	"assertNotSame(""STR"",resultPublicId);"	0	1	67.7372829914093
22	0	orientechnologies/orientdb	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertTrue(result);	0	1	35.52045798301697
	1	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertFalse(result);	0	1	35.52045798301697
	2	/	OPropertyMapIndexDefinitionTest	testProcessChangeEventUpdateKey	assertTrue(keysToAdd.isEmpty());	assertNotNull(propertyIndexByKey);	0	1	35.52045798301697
