TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Corr	Sorted	Time
21	0	orientechnologies/orientdb	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNotNull(database);	0	1	57.244585037231445
	1	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNotNull(database.getCurrentSession());	0	1	57.244585037231445
	2	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertFalse(database.isClosed());	0	1	57.244585037231445
	3	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertFalse(database.exists());	0	1	57.244585037231445
	4	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNull(database.getClusterNameById(database.getDefaultClusterId()));	0	1	57.244585037231445
	5	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNotNull(propertyIndexByKey);	0	1	57.244585037231445
	6	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNotNull(propertyIndexByIntegerKey);	0	1	57.244585037231445
	7	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertNotNull(propertyIndexByValue);	0	1	57.244585037231445
	8	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertTrue(database.getClusters().size()>0);	0	1	57.244585037231445
	9	/	OPropertyMapIndexDefinitionTest	testEmptyIndexByKeyReload	assertEquals(result,propertyIndexByKey);	assertEquals(database.getStorage().getSize(),0);	0	1	57.244585037231445
22	0	orientechnologies/orientdb	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertNotNull(result);	0	1	41.36081576347351
	1	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertEquals(0,result.size());	0	1	41.36081576347351
	2	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertTrue(!result.isEmpty());	0	1	41.36081576347351
	3	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertFalse(result.isEmpty());	0	1	41.36081576347351
	4	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertNull(result);	1	1	41.36081576347351
	5	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	assertSame(null,result);	0	1	41.36081576347351
	6	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	"assertNotSame(""STR"",null,result);"	0	1	41.36081576347351
	7	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	"assertSame(""STR"",result);"	0	1	41.36081576347351
	8	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	"assertNotSame(""STR"",""STR"",result);"	0	1	41.36081576347351
	9	/	OPropertyMapIndexDefinitionTest	testCreateValueWrongParameterArrayParams	assertNull(result);	"assertNotEquals(""STR"",result);"	0	1	41.36081576347351
