TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	1	/	MavenConfigurationExtractorTest	should_parse_simple_types	"assertThat(config).containsEntry(""STR"",""STR"").containsEntry(""STR"",""STR"");"	assertNotNull(config);	8.524688005447388	0	1	0	0	0
1	0	fabric8io/fabric8-maven-plugin	ProcessorConfigTest	order	assertEquals(2,result.size());	assertEquals(2,result.size());	11.212955951690674	1	0	0	0	0
	1	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertTrue(result.size()>0);	12.768403053283691	0	1	0	0	0
	2	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertNotNull(result);	9.383105993270874	0	1	0	0	0
	8	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertFalse(result.isEmpty());	9.622599124908447	0	1	0	0	0
	9	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertNotEquals(0,result.size());	10.102782964706421	0	1	0	0	0
	11	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertSame(data.get(1),result.get(1));	10.054059982299805	0	1	0	0	0
	12	/	ProcessorConfigTest	order	assertEquals(2,result.size());	"assertArrayEquals(""t4""},result.stream().map(TestNamed::getName).toArray());"	10.752714157104492	0	1	0	0	0
	13	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertNotSame(data,result);	10.821935653686523	0	1	0	0	0
	14	/	ProcessorConfigTest	order	assertEquals(2,result.size());	assertFalse(result.contains(data.get(0)));	10.490578174591064	0	1	0	0	0
	18	/	ProcessorConfigTest	order	assertEquals(2,result.size());	"assertEquals(2,result.stream().filter(r->r.getName().startsWith(""t"")).count());"	11.159265995025635	0	1	0	0	0
0	0	PeterisP/morphology	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertEquals(1,sentences.size());	9.664367198944092	1	0	0	0	0
	1	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertNotNull(sentences);	11.85327696800232	0	1	0	0	0
	2	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertTrue(!sentences.isEmpty());	9.499645233154297	0	1	0	0	0
	3	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertSame(LinkedList.class,sentences.getClass());	9.260443925857544	0	1	0	0	0
	4	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertNotEquals(null,sentences);	9.302287817001343	0	1	0	0	0
	5	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	"assertArrayEquals(newLinkedList[]{sentences},newLinkedList[]{Splitting.tokenizeSentences(locītājs,""Sertificētiirvisiproduktadzīvesciklaposmi–sākotnosaimniecībaslīdzveikalaplauktam.»"")});"	13.31380295753479	0	1	0	0	0
	6	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertFalse(sentences.isEmpty());	9.029797077178955	0	1	0	0	0
	7	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertNotSame(null,sentences);	9.657469987869263	0	1	0	0	0
	9	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertNull(null);	8.73197603225708	0	1	0	0	0
	10	/	TokenizeTest	sentences_isolated_quotes	assertEquals(1,sentences.size());	assertNotNull(sentences);	11.356805801391602	0	1	0	0	0
1	1	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertTrue(tokens.size()>0);	14.449400663375854	0	1	0	0	0
	2	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertNotNull(tokens);	8.49370527267456	0	1	0	0	0
	3	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertFalse(tokens.isEmpty());	9.138046026229858	0	1	0	0	0
	4	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertNotEquals(0,tokens.size());	9.555216073989868	0	1	0	0	0
	5	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertSame(tokens.getClass(),LinkedList.class);	10.011963844299316	0	1	0	0	0
	7	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertNotSame(null,tokens);	8.976714849472046	0	1	0	0	0
	9	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertNotEquals(null,tokens);	8.963693857192993	0	1	0	0	0
	12	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	"assertNotEquals(newWord(""test""),tokens.getFirst());"	10.22723913192749	0	1	0	0	0
	13	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	"assertEquals(tokens.toString(),Splitting.tokenize(locītājs,""1995.gads"",false).toString());"	29.094746828079224	0	1	0	0	0
	17	/	TokenizeTest	year_numerals	assertEquals(2,tokens.size());	assertFalse(tokens.isEmpty());	8.826191186904907	0	1	0	0	0
