TestID	OracleID	Project	ClassName#TestName	TrueOracle	GenOracle	Correct
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertEquals(expected,actual);	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertEquals(expected,actual);	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertTrue(expected.equals(actual));	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertThat(actual,equalTo(expected));	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertThat(expected,equalTo(actual));	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertNotEquals(expected,actual);	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertThat(actual,is(expected));	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertTrue(expected.containsAll(actual));	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertArrayEquals(expected,actual);	0
0	10	adlnet_jxapi	ContentActivitiesTest#testGetGrouping	org.junit.Assert.assertNotNull(actual);	org.junit.Assert.assertTrue(expected==actual);	0
1	10	hazelcast_hazelcast-simulator	AnnotationFilterTest#testLocalTeardownFilter	"org.junit.Assert.assertEquals(""STR"",method.getName());"	org.junit.Assert.assertNotNull(method);	0
1	10	hazelcast_hazelcast-simulator	AnnotationFilterTest#testLocalTeardownFilter	"org.junit.Assert.assertEquals(""STR"",method.getName());"	org.junit.Assert.assertThat(method,notNullValue());	0
1	10	hazelcast_hazelcast-simulator	AnnotationFilterTest#testLocalTeardownFilter	"org.junit.Assert.assertEquals(""STR"",method.getName());"	org.junit.Assert.assertThat(method,is(instanceOf(TeardownMethod.class)));	0
