TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	BuildErr
/	1	//	CommonUtils_SleepTest	testSleepRandomNanosMinDelayZero	"assertTrue(format(""STR"",duration),duration>0);"	assertTrue(Math.abs(durationLimit-duration)<=epsilon);	113.84840488433838	0	0
/	11	//	CommonUtils_SleepTest	testSleepRandomNanosMinDelayZero	"assertTrue(format(""STR"",duration),duration>0);"	assertTrue((1000000000-1139248)<10);	26.597986936569214	0	0
1	0	hazelcast/hazelcast-simulator	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertEquals((String)expectedString,actualObject.toString());	64.30036401748657	0	0
/	2	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	"assertTrue(actualResult.startsWith(""STR"")&&actualResult.contains(""STR""));"	68.40384697914124	0	0
/	3	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	???;	71.38378429412842	0	0
/	4	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	"assertTrue(actualResult.toLowerCase().contains(""STR""));"	76.70146775245667	0	0
/	5	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertEquals(0,actualResult.size());	88.54716110229492	0	0
/	7	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertFalse(condition);	94.10145711898804	0	0
/	8	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertNotEquals(String.valueOf(expectedValue),String.valueOf(actualValue));	91.95209002494812	0	0
/	9	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertTrue(condition);	64.30203413963318	0	0
/	10	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertNotSame(expectedObject,actualObject);	75.78374719619751	0	0
/	11	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertEquals(expectedAddress,actualAddress);	97.65880799293518	0	0
/	21	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertNotNull(actual);	66.7858099937439	0	0
/	22	//	SimulatorAddressTest	testToString_whenCoordinator	"assertEquals(""STR"",coordinatorAddress().toString());"	assertNotSame(expected,actual);	40.52737879753113	0	0
3	0	orientechnologies/orientdb	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertEquals(expectedResult,result);	646.9834790229797	0	0
/	1	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertTrue(resultinstanceofList);	1638.9650840759277	0	0
/	5	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertEquals(mapToTest.size(),result.size());	1174.8791291713715	0	0
/	12	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertArrayEquals(expectedResult.toArray(),result.toArray());	132.62258195877075	0	0
/	16	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertNull(result);	138.97707796096802	0	0
/	20	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertTrue(resultinstanceofList&&!result.isEmpty());	75.9345588684082	0	0
/	22	//	OPropertyMapIndexDefinitionTest	testCreateValueByKeyTwoParameters	assertTrue(resultinstanceofCollection);	assertEquals(mapToTest,propertyIndexByKey);	109.23633575439453	0	0
/	4	//	OPropertyIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	???;	73.98954701423645	0	0
/	6	//	OPropertyIndexDefinitionTest	testGetTypes	assertEquals(result.length,1);	???;	31.835684061050415	0	0
/	5	//	OCompositeKeyTest	testAddKeyComparable	assertEquals(compositeKey.getKeys().size(),1);	assertTrue(compositeKey.getKeys().isEmpty());	471.35680508613586	0	0
/	11	//	OCompositeKeyTest	testAddKeyComparable	assertEquals(compositeKey.getKeys().size(),1);	???;	94.42740297317505	0	0
6	0	orientechnologies/orientdb	LuceneGeoUpdateTest	testUpdate	assertEquals(2,index.getSize());	assertEquals(String.valueOf(expectedSize),String.valueOf(index.getSize()));	137.42562007904053	0	0
/	3	//	LuceneGeoUpdateTest	testUpdate	assertEquals(2,index.getSize());	"assertTrue()`methodtocheckifthevalueof`index.getSize()`isequalto`0`.Hereisthemodifiedassertstatement:

```java
assertEquals(0,index.getSize());"	97.77679777145386	0	0
/	9	//	LuceneGeoUpdateTest	testUpdate	assertEquals(2,index.getSize());	assertTrue(index.getSize()>5);	68.87642693519592	0	0
/	12	//	OSQLFunctionAbsoluteValueTest	testPositiveBigDecimal	assertTrue(resultinstanceofBigDecimal);	"assertEquals(newBigDecimal(""STR""),result);"	1501.7167618274689	0	0
/	1	//	OMatchStatementExecutionNewTest	testMaxDepthArrow	assertEquals(2,size(qResult));	assertTrue(qResult.isEmpty());	279.6986780166626	0	0
