TestID	VariantID	Project	TestClass	TestName	TrueOracle	GenOracle	Time	Corr	Incorr	BuildErr	RunErr	TestFailure
0	6	//	MorphologyTest	gunta19dec_3	assertTrue(vārds.isRecognized());	assertFalse(!vārds.isRecognized().isEmpty());	44.06950902938843	0	1	1	0	0
/	8	//	MorphologyTest	gunta19dec_3	assertTrue(vārds.isRecognized());	assertTrue(!vārds.getFeatures().isEmpty());	45.92722988128662	0	1	1	0	0
1	0	PeterisP/morphology	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	???;	28.09202790260315	0	1	1	0	0
/	1	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertTrue(locītājs.isRecognized());	33.90063691139221	0	1	1	0	0
/	16	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertTrue(locītājs.isRecognized());	39.671590089797974	0	1	1	0	0
/	18	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertTrue(locītājs.isWordformsEmpty());	47.763957023620605	0	1	1	0	0
/	19	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertFalse(locitajs.isRecognized());	42.9766628742218	0	1	1	0	0
/	21	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertTrue(locītājs.isRecognized());	43.33861517906189	0	1	1	0	0
/	22	//	MorphologyTest	lūzīs	assertTrue(lūzīs.isRecognized());	assertTrue(locītājs.isRecognized());	53.75323700904846	0	1	1	0	0
3	12	//	MorphologyTest	plāns_B	assertTrue(w.isRecognized());	assertTrue(Analyzer.isRecognized(locītājs));	43.885515213012695	0	1	1	0	0
/	20	//	MorphologyTest	plāns_B	assertTrue(w.isRecognized());	assertFalse(locītājs.isRecognized());	34.534847021102905	0	1	1	0	0
0	7	//	SimulatorPropertiesTest	testGetCoordinatorPort	assertEquals(0,simulatorProperties.getCoordinatorPort());	assertNotEquals(0,newSimulatorProperties().getCoordinatorPort());	41.391008138656616	0	1	1	0	0
3	0	hazelcast/hazelcast-simulator	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	assertFalse(bind0(null,null,null));	37.12016272544861	0	1	1	0	0
/	2	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	assertTrue(FOCAL(mockObject,mockProperty,mockValue));	40.61516213417053	0	1	1	0	0
/	3	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertTrue(bind0(mockObject,""STR"",""STR""));"	40.978848934173584	0	1	1	0	0
/	4	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	assertEquals(expected,actual);	15.727033138275146	0	1	1	0	0
/	5	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	assertTrue(actualResult);	103.60444808006287	0	1	1	0	0
/	6	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertTrue(bind0(null,""STR"",""STR""));"	34.971596002578735	0	1	1	0	0
/	7	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertNotNull(bind0(exampleObject,""STR"",""STR""));"	37.72866106033325	0	1	1	0	0
/	13	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	assertEquals()`statement:);	29.062722206115723	0	1	1	0	0
/	16	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertTrue(bind0(targetObject,""STR"",""STR""));"	36.01342010498047	0	1	1	0	0
/	22	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertFalse(!ClassName.bind0(null,""STR"",""STR""));"	38.7042031288147	0	1	1	0	0
/	24	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	???;	45.41855502128601	0	1	1	0	0
/	25	//	PropertyBindingSupport_bind0_NumericalTest	bind_Short	"assertTrue(bind0(testObject,""STR"",""STR""));"	"assertNull(FOCAL(newPropertyBindingSupport_bind0_NumericalTest.TestObject(),""STR"",""STR""));"	135.73391699790955	0	1	1	0	0
0	8	//	TestFluentLogFactory	testGetLogger	assertTrue(loggerA0==loggerA1);	"assertTrue(loggerA0.getToken().contains(""STR""));"	23.948943853378296	0	1	1	0	0
0	0	nidi3/graphviz-java	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertNotNull(attrs());	35.46556115150452	0	1	1	0	0
/	1	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertEquals(1,attrs(attribute));	23.965091943740845	0	1	1	0	0
/	2	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertTrue(attrs().isEmpty());	22.987239837646484	0	1	1	0	0
/	3	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertion:`assertEquals(expectedSize,attrs().size());	23.449093103408813	0	1	1	0	0
/	4	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertFalse(attrs().contains(attribute));	26.63567590713501	0	1	1	0	0
/	5	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertNotSame(attrs(),attrs(newAttributes<>()));	40.10607695579529	0	1	1	0	0
/	6	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertEquals(EXPECTED_ATTRIBUTES_CONSTANT,attrs(attribute));	37.94346070289612	0	1	1	0	0
/	7	//	StyleTest	tapered	"assertEquals(attrs(attr(""STR"",""STR""),attr(""STR"",5.0),attr(""STR"",""STR"")),attrs(Style.tapered(5,Arrow.DirType.BOTH)));"	assertTrue(newHashSet<>(Arrays.asList(attrs(attributes))).containsAll(newHashSet<>(attrs().asList())));	40.14195895195007	0	1	1	0	0
